id;person_type;company_name;trade_name;cnpj_cpf;ie;notes;created_at;phone;mobile;email;address;address_number;district;complement;zip;city_id
1;0;Plastificadora De Vela;;;;Embala velas do setor de velas;1,54955E+12;(00) 1;;;Zavaski;;;;;
2;0;Envasadora Agua 2 L;;;;Envasadora a carretel;1,54955E+12;(03) 1;;;Zavaski;;;;;
3;0;Envasadora Agua 1 L;;;;Envasadora a carretel;1,54955E+12;(03) 2;;;Zavaski;;;;;
4;0;Envasadora Agua 5 L;;;;Envasadora a carretel;1,54955E+12;(03) 3;;;Zavaski;;;;;
5;0;Compressor Agua Sanitaria;;;;;1,55128E+12;;;;Zavaski;;;;;
6;0;Envasadora Detergente 500 ML;;;;Envasadora de mesa móvel;1,55128E+12;;;;Zavaski;;;;;
7;0;Caldeira;;;;Marino;1,55128E+12;;(48) 99929-1372;;Zavaski;;;Marino;;
8;0;Refeitório;;;;;1,55135E+12;;;;;;;;;
9;0;Portão Setor Água Sanitária;;;;Portão basculante de aço;1,55135E+12;;;;;;;;;
10;0;Estoque Setor Elaboração;;;;;1,5664E+12;;;;Zavaski;;;Operadores - Vairton / Fernando;;
11;0;Fábrica De Ração;;;;;1,56641E+12;;;;;;;Chupim Picador Martelo / Caixa;;
12;0;Envase Amaciante.;;;;linha alimentação, envase, tampa manual, tampador cruz de malta;1,56641E+12;;;;Zavaski;;;;;
13;0;Detergente 1 Litro;;;;alimentação, envase toutch, tampa manual;1,56641E+12;;;;Zavaski;;;;;
14;0;Máquinas Vela;;;;29 máquinas de diversos formatos;1,56641E+12;;;;;;;;;
15;0;Envasadora Amaciante 5 Litros;;;;Envasadora a carretel;1,56643E+12;;;;;;;;;
16;0;Café Torra E Moagem;;;;;1,56643E+12;;;;;;;;;
17;0;Café Embalagem;;;;Fabricação de embalagens e embalamento de café;1,56643E+12;;;;;;;;;
18;0;Fechadeira De Caixa;;;;Esteira ajustável de passar fita em caixa de papelão;1,56643E+12;;;;;;;;;
19;0;Envasadora Desinfetante;;;;Envasadora de mesa móvel;1,56643E+12;;;;;;;;;
20;0;Envasadora Desinfetante 5 L;;;;Envasadora de mesa móvel;1,56643E+12;;;;;;;;;
21;0;Setor Sabão;;;;;1,56643E+12;;;;Zavaski;;;;;
22;0;Embalagens Extrusoras;;;;;1,56682E+12;;;;;;;;;
23;0;Fábrica Ração;;;;;1,5669E+12;;;;;;;;;
