id,customer_id,status,total_amount_products,total_amount_services,discount,total_amount,received_at,realized_at,delivery_at,equipments_description,defects_description,technical_report,warranty,created_at
1,2,5,239.50,52.00,0.00,291.50,1549293569964,1549293585069,1549552789144,,vazamento reservatório principal de envaze,"colar com p.u. 40 internamente colado duas vezes , feito cinturão de inox para retirar a tampa.",,1549293585069
2,1,5,0.00,104.00,0.00,104.00,1549293635948,1549293638718,1549552693838,,,troca de rolamento e ajuste facão de corte,,1549293638718
3,5,5,1301.00,208.00,0.00,1509.00,1551111273231,1551197680533,1551197686748,,,,,1551197680533
4,7,5,360.00,52.00,0.00,412.00,1551198090580,1551284495126,1551284498617,,,,,1551284495126
5,8,5,5.51,13.00,0.00,18.51,1551349780943,1551349816735,1551349818572,,torneira com vazamento,trocar torneira,,1551349816735
6,9,5,4.53,26.00,0.00,30.53,1551349972639,1551350029570,1551350033012,,estrutura torta batida de caminhao,cortado estrutura em pontos espessificos e compensado parcialmente,,1551350029570
7,3,5,161.00,26.00,0.00,187.00,1551899967693,1551899983952,1551899988532,,bomba pneumática de retorno não aciona,defeito na válvula solenóide - trocar,,1551899983952
8,2,5,0.00,159.20,0.00,159.20,1564659629862,1566387634155,1566387639736,,fabricação de guia para destrave de gargalo causando quebra de bicos.,guia técnico desenhado com medidas tiradas no equipamento,,1566387634155
9,10,5,6.04,19.80,0.00,25.84,1566396306941,1566396463943,1566396467652,,deficuldade em empilhar bambinas de 25 litros vazia.,"feito dois suportes de ferro redondo 1/2"" com sapatas de tala furada pra pregar no palete
",,1566396463943
10,11,5,0.00,13.50,0.00,13.50,1566407537551,1566407546913,1566409372984,,motor do chupim caio a chaveta e rodou o eixo.,retirado motor e levado a oficina feito acentamento da polia e colocado um estojo para segurar a chaveta ( aberto rosca nova ) remontado e feito ligação nova.,,1566407546913
11,14,1,2765.00,104.00,0.00,2869.00,1565289736973,1566412942686,,deficiência na quantidade de água para refrigeração das maquinas,demora por ciclo ,"
fazer limpeza por sucção. entupimento por folhas ",feito limpeza com o caminhão limpa fossa / entupimento por folhas / fazer telhado sobre caixa reservatório .,1566412942686
13,17,5,45.00,39.00,0.00,84.00,1565303346485,1565303349607,1565303355505,elevador de canecos ,correia cinta de canecos arrebentada,refazer emenda ,,1565303349607
14,17,5,9.00,13.00,0.00,22.00,1566340400957,1566340405267,1566340409912,,vazamento de ar,"mangueira pneumática estourada, trocar ",,1566340405267
15,14,5,0.00,450.00,0.00,450.00,1566306287399,1566479099613,1566479068250,tanque de resfriamento e tubulações,ineficiência de refrigeracao,limpeza de tanque e tubulações com limpa fossa,,1566479099613
16,12,5,38.50,26.00,0.00,64.50,1566428066168,1566428066168,,envasadora amaciante ,mangueira escoamento de limpeza liberando para piso,levar a mangueira até a calha,,1566428066168
17,12,5,0.00,0.00,0.00,0.00,1566428492932,1566514926318,,,sensor fim de curso mesa de bicos porca plástica quebrada,procurar porca nos sensores antigos ,,1566514926318
