,service_order_id,material_id,amout
0,2,,104.0
1,1,,52.0
2,1,1.0,87.0
3,1,3.0,151.0
4,1,4.0,1.5
5,3,5.0,1301.0
6,3,,208.0
7,4,6.0,360.0
8,4,,52.0
9,5,7.0,5.51
10,5,,13.0
11,6,,26.0
12,6,8.0,4.53
13,7,9.0,161.0
14,7,,26.0
15,8,,26.0
16,8,,3.2
17,8,,50.0
18,8,,80.0
19,9,8.0,6.04
20,9,,13.0
21,9,,6.8
22,10,,13.0
23,10,,0.5
24,13,,39.0
25,14,,13.0
26,14,11.0,9.0
27,13,12.0,45.0
28,11,,104.0
29,11,14.0,315.0
30,11,13.0,2450.0
31,15,,450.0
32,16,15.0,22.5
33,16,16.0,16.0
34,16,,26.0
35,29,17.0,35.0
36,29,,13.0
37,30,18.0,6.5
38,30,,13.0
39,31,19.0,15.0
40,31,,26.0
41,28,,208.0
42,28,20.0,150.0
43,32,,13.0
44,32,21.0,0.2
45,33,,52.0
46,33,22.0,9.0
47,33,23.0,4.0
48,33,24.0,12.0
49,33,1.0,29.0
50,33,26.0,8.0
51,33,27.0,35.0
52,35,,450.0
53,35,,26.0
54,51,,40.0
55,68,,13.0
56,69,,39.0
57,102,,350.0
58,118,28.0,1.0
59,118,29.0,1.0
60,118,,39.0
61,118,7.0,1.0
62,118,30.0,15.0
63,118,31.0,1.0
64,118,32.0,3.0
65,118,33.0,3.0
66,118,2.0,4.0
67,119,,50.0
68,119,34.0,2.0
69,124,,50.0
70,124,35.0,2.0
71,123,,50.0
72,123,36.0,1.0
73,122,,75.0
74,122,28.0,1.0
75,122,37.0,3.0
76,122,38.0,6.0
77,122,39.0,3.0
78,122,40.0,6.0
79,122,41.0,2.0
80,122,29.0,4.0
81,134,,180.0
82,134,,50.0
83,140,42.0,140.0
84,140,,25.0
85,139,,25.0
86,138,,25.0
87,138,26.0,8.0
88,129,,25.0
89,137,,25.0
90,137,43.0,120.0
91,136,,25.0
92,135,,25.0
93,133,,75.0
94,133,44.0,90.0
95,131,,40.0
96,130,,50.0
97,132,,50.0
98,132,26.0,4.0
99,132,32.0,2.0
100,132,44.0,30.0
101,102,45.0,850.0
102,149,,100.0
103,149,1.0,29.0
104,149,32.0,6.0
105,149,40.0,3.0
106,150,46.0,12.0
107,150,,25.0
108,332,,50.0
109,358,,75.0
110,358,,350.0
111,358,47.0,320.0
112,358,48.0,60.0
113,545,,0.02
114,545,51.0,0.01
115,546,,0.01
116,544,53.0,0.01
117,544,52.0,0.01
118,544,55.0,0.01
119,544,56.0,0.01
120,544,2.0,0.01
121,543,57.0,0.01
122,543,,0.01
123,543,58.0,0.01
124,527,59.0,0.02
125,527,,0.01
126,523,,0.01
127,523,10.0,0.08
128,516,39.0,1.0
129,516,,0.01
130,509,61.0,0.02
131,509,60.0,0.15
132,504,49.0,0.06
133,504,50.0,0.02
134,504,,0.01
135,493,63.0,0.2
136,493,62.0,0.03
137,493,,0.01
138,547,,0.01
139,550,,0.01
140,550,10.0,0.05
141,552,65.0,0.03
142,552,,0.03
143,552,64.0,0.03
144,553,2.0,0.01
145,553,66.0,0.01
146,553,53.0,0.03
147,553,,0.04
148,554,,0.03
149,554,53.0,0.02
150,554,67.0,0.12
151,554,2.0,0.01
152,554,22.0,0.01
153,555,,0.03
154,555,53.0,0.01
155,555,2.0,0.01
156,551,,0.05
157,551,,0.02
158,551,50.0,0.03
159,551,49.0,0.01
160,556,73.0,0.01
161,556,76.0,0.02
162,556,72.0,0.01
163,556,71.0,0.01
164,556,69.0,0.01
165,556,70.0,0.01
166,556,74.0,0.02
167,556,75.0,0.01
168,556,68.0,0.2
169,559,79.0,0.03
170,559,80.0,0.03
171,559,81.0,0.06
172,559,83.0,0.02
173,559,2.0,0.02
174,559,82.0,0.01
175,559,84.0,0.06
176,560,38.0,2.0
177,560,37.0,2.0
178,560,85.0,0.09
179,560,39.0,2.0
180,560,40.0,4.0
181,560,,0.03
182,560,86.0,0.01
183,255,87.0,0.03
184,561,,0.02
185,561,88.0,0.01
186,562,,0.02
187,562,90.0,0.01
188,562,91.0,0.01
189,562,89.0,0.01
190,562,92.0,0.01
191,562,93.0,0.01
192,563,15.0,0.0
